Index|Query
Q1|SELECT * WHERE { ?x <http://dbpedia.org/ontology/wikiPageRevisionID> ?y .} LIMIT 100000
Q2|SELECT * WHERE { ?x <http://www.w3.org/ns/prov#wasDerivedFrom> ?y .} LIMIT 100000
Q3|SELECT * WHERE { ?x <http://www.w3.org/2000/01/rdf-schema#label> ?y .} LIMIT 100000
Q4|SELECT * WHERE { ?x <http://purl.org/dc/elements/1.1/language> ?y .} LIMIT 100000
Q5|SELECT * WHERE { ?x <http://xmlns.com/foaf/0.1/isPrimaryTopicOf> ?y .} LIMIT 100000
Q6|SELECT * WHERE { ?x <http://xmlns.com/foaf/0.1/primaryTopic> ?y .} LIMIT 100000
Q7|SELECT * WHERE { ?x <http://dbpedia.org/ontology/wikiPageRedirects> ?y .} LIMIT 100000
Q8|SELECT * WHERE { ?x <http://www.w3.org/2004/02/skos/core#broader> ?y .} LIMIT 100000
Q9|SELECT * WHERE { ?x <http://dbpedia.org/property/name> ?y .} LIMIT 100000
Q10|SELECT * WHERE { ?x <http://xmlns.com/foaf/0.1/name> ?y .} LIMIT 100000
Q11|SELECT * WHERE { ?x <http://dbpedia.org/ontology/team> ?y .} LIMIT 100000
Q12|SELECT * WHERE { ?x <http://www.w3.org/2004/02/skos/core#prefLabel> ?y .} LIMIT 100000
Q13|SELECT * WHERE { ?x <http://dbpedia.org/property/goals> ?y .} LIMIT 100000
Q14|SELECT * WHERE { ?x <http://dbpedia.org/property/subdivisionType> ?y .} LIMIT 100000
Q15|SELECT * WHERE { ?x <http://dbpedia.org/property/title> ?y .} LIMIT 100000
Q16|SELECT * WHERE { ?x <http://dbpedia.org/ontology/careerStation> ?y .} LIMIT 100000
Q17|SELECT * WHERE { ?x <http://dbpedia.org/property/date> ?y .} LIMIT 100000
Q18|SELECT * WHERE { ?x <http://dbpedia.org/property/birthPlace> ?y .} LIMIT 100000
Q19|SELECT * WHERE { ?x <http://dbpedia.org/ontology/birthPlace> ?y .} LIMIT 100000
Q20|SELECT * WHERE { ?x <http://dbpedia.org/property/years> ?y .} LIMIT 100000
Q21|SELECT * WHERE { ?x <http://dbpedia.org/property/subdivisionName> ?y .} LIMIT 100000
Q22|SELECT * WHERE { ?x <http://dbpedia.org/ontology/years> ?y .} LIMIT 100000
Q23|SELECT * WHERE { ?x <http://dbpedia.org/property/votes> ?y .} LIMIT 100000
Q24|SELECT * WHERE { ?x <http://www.georss.org/georss/point> ?y .} LIMIT 100000
Q25|SELECT * WHERE { ?x <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?y .} LIMIT 100000
Q26|SELECT * WHERE { ?x <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?y .} LIMIT 100000
